source,relative_path,doc_type,parser,parse_status,quality_status,ingest_status,pages_total,pages_parsed,ocr_pages,table_pages,empty_pages,chars_total,avg_chars_per_page,valid_char_ratio,garble_score,table_count,table_fact_count,table_review_count,artifact_dir,notes
Zheng 等 - 2015 - Characterization of the microbial community in different types of Daqu samples as revealed by 16S rR.pdf,papers/Zheng 等 - 2015 - Characterization of the microbial community in different types of Daqu samples as revealed by 16S rR.pdf,文献,pdfplumber,ok,pass,ingested,10,64,0,3,0,42044,656.94,0.9582,0.0418,3,51,1,parsed_docs/Zheng_等_-_2015_-_Characterization_of_the_microbial_community_in_different_types___b7b169d4,
Zheng 等 - 2018 - Succession sequence of lactic acid bacteria driven by environmental factors and substrates throughou.pdf,papers/Zheng 等 - 2018 - Succession sequence of lactic acid bacteria driven by environmental factors and substrates throughou.pdf,文献,pdfplumber,ok,pass,ingested,14,63,0,1,0,54772,869.4,0.9815,0.0185,1,48,0,parsed_docs/Zheng_等_-_2018_-_Succession_sequence_of_lactic_acid_bacteria_driven_by_environme__c2df9234,
"Zheng 等 - 2019 - Amino Acid, Mineral, and Degree of Hydrolysis of Vinegar-Egg and Its Lipid Lowering and Antioxidant.pdf","papers/Zheng 等 - 2019 - Amino Acid, Mineral, and Degree of Hydrolysis of Vinegar-Egg and Its Lipid Lowering and Antioxidant.pdf",文献,pdfplumber,ok,pass,ingested,12,59,0,5,0,52659,892.53,0.9747,0.0253,5,42,1,parsed_docs/Zheng_等_-_2019_-_Amino_Acid_Mineral_and_Degree_of_Hydrolysis_of_Vinegar-Egg_and___4e27397e,
Zheng 等 - 2023 - Efficacy and functionality of sugarcane original vinegar on mice.pdf,papers/Zheng 等 - 2023 - Efficacy and functionality of sugarcane original vinegar on mice.pdf,文献,pdfplumber,ok,pass,ingested,14,250,0,9,0,100465,401.86,0.9128,0.0892,23,213,3,parsed_docs/Zheng_等_-_2023_-_Efficacy_and_functionality_of_sugarcane_original_vinegar_on_mic__d32916d1,
Zheng等 - 2014 - Multicomposition analysis and pattern recognition of Chinese geographical indication product vinegar.pdf,papers/Zheng等 - 2014 - Multicomposition analysis and pattern recognition of Chinese geographical indication product vinegar.pdf,文献,pdfplumber,ok,pass,ingested,8,67,0,4,0,43498,649.22,0.9571,0.0438,4,55,1,parsed_docs/Zheng等_-_2014_-_Multicomposition_analysis_and_pattern_recognition_of_Chinese_geo__423e69dd,
Zhu 等 - 2018 - Dynamic microbial succession of Shanxi aged vinegar and its correlation with flavor metabolites duri.pdf,papers/Zhu 等 - 2018 - Dynamic microbial succession of Shanxi aged vinegar and its correlation with flavor metabolites duri.pdf,文献,pdfplumber,ok,pass,ingested,10,99,0,3,0,54098,546.44,0.9703,0.0297,4,85,0,parsed_docs/Zhu_等_-_2018_-_Dynamic_microbial_succession_of_Shanxi_aged_vinegar_and_its_corre__7bf9aa1d,
Zhu 等 - 2022 - Influence of Seasonings and Spice Essential Oils on Acrylamide Production in a Low Moisture Model Sy.pdf,papers/Zhu 等 - 2022 - Influence of Seasonings and Spice Essential Oils on Acrylamide Production in a Low Moisture Model Sy.pdf,文献,pdfplumber,ok,pass,ingested,8,8,0,0,0,31547,3943.38,0.9878,0.0123,0,0,0,parsed_docs/Zhu_等_-_2022_-_Influence_of_Seasonings_and_Spice_Essential_Oils_on_Acrylamide_Pr__fe89e556,
Zhu 等 - 2024 - The Complexity of Chinese Cereal Vinegar Flavor A Compositional and Sensory Perspective.pdf,papers/Zhu 等 - 2024 - The Complexity of Chinese Cereal Vinegar Flavor A Compositional and Sensory Perspective.pdf,文献,pdfplumber,ok,pass,ingested,17,25,0,5,0,62700,2508.0,0.9433,0.0567,5,3,4,parsed_docs/Zhu_等_-_2024_-_The_Complexity_of_Chinese_Cereal_Vinegar_Flavor_A_Compositional_a__b4306a41,
Zhu 等 - 2026 - Molecular insight into the sensory profiles of four solid-state fermented rice vinegars A flavoromi.pdf,papers/Zhu 等 - 2026 - Molecular insight into the sensory profiles of four solid-state fermented rice vinegars A flavoromi.pdf,文献,pdfplumber,ok,pass,ingested,15,163,0,8,0,129784,796.22,0.9618,0.0382,8,140,3,parsed_docs/Zhu_等_-_2026_-_Molecular_insight_into_the_sensory_profiles_of_four_solid-state_f__98fe0dc3,
"Zulkawi 等 - 2017 - In vitro characterization and in vivo toxicity, antioxidant and immunomodulatory effect of fermented.pdf","papers/Zulkawi 等 - 2017 - In vitro characterization and in vivo toxicity, antioxidant and immunomodulatory effect of fermented.pdf",文献,pdfplumber,ok,pass,ingested,12,187,0,3,0,78289,418.66,0.9775,0.0229,3,172,0,parsed_docs/Zulkawi_等_-_2017_-_In_vitro_characterization_and_in_vivo_toxicity_antioxidant_an__d09b805f,
Ðurović 等 - 2021 - Liquid Baits with Oenococcus oeni Increase Captures of Drosophila suzukii.pdf,papers/Ðurović 等 - 2021 - Liquid Baits with Oenococcus oeni Increase Captures of Drosophila suzukii.pdf,文献,pdfplumber,ok,pass,ingested,19,32,0,5,0,74040,2313.75,0.9713,0.0288,5,8,2,parsed_docs/urovic_等_-_2021_-_Liquid_Baits_with_Oenococcus_oeni_Increase_Captures_of_Drosoph__99739934,
Ørsted 等 - 2019 - Genomic variation predicts adaptive evolutionary responses better than population bottleneck history.pdf,papers/Ørsted 等 - 2019 - Genomic variation predicts adaptive evolutionary responses better than population bottleneck history.pdf,文献,pdfplumber,ok,pass,ingested,18,18,0,0,0,56332,3129.56,0.9935,0.0065,0,0,0,parsed_docs/rsted_等_-_2019_-_Genomic_variation_predicts_adaptive_evolutionary_responses_bett__68e8a8b3,
Ørsted 等 - 2022 - Population bottlenecks constrain host microbiome diversity and genetic variation impeding fitness.pdf,papers/Ørsted 等 - 2022 - Population bottlenecks constrain host microbiome diversity and genetic variation impeding fitness.pdf,文献,pdfplumber,ok,pass,ingested,23,101,0,3,0,88562,876.85,0.9822,0.0195,5,73,0,parsed_docs/rsted_等_-_2022_-_Population_bottlenecks_constrain_host_microbiome_diversity_and___b89aa896,
“红茶菌”中微生物的分离及纯菌混合发酵生产_林娟.pdf,papers/“红茶菌”中微生物的分离及纯菌混合发酵生产_林娟.pdf,文献,pdfplumber,ok,pass,ingested,10,77,0,3,0,23003,298.74,0.9593,0.0413,3,64,0,parsed_docs/红茶菌_中微生物的分离及纯菌混合发酵生产_林娟__00571856,
《齐民要术》中农产品加工的研究_杨坚.pdf,papers/《齐民要术》中农产品加工的研究_杨坚.pdf,文献,paddleocr,ocr,pass,ingested,156,156,19,0,0,183979,1179.35,0.9537,0.0463,0,0,0,parsed_docs/齐民要术_中农产品加工的研究_杨坚__87754dc3,
一株醋酸菌液态扩大培养及应用于固态发酵酿醋研究_郭明烨.pdf,papers/一株醋酸菌液态扩大培养及应用于固态发酵酿醋研究_郭明烨.pdf,文献,pdfplumber,ok,pass,ingested,4,69,0,3,0,10949,158.68,0.9496,0.0504,3,62,2,parsed_docs/一株醋酸菌液态扩大培养及应用于固态发酵酿醋研究_郭明烨__3d80644d,
一种新型自动化淋醋工艺的开发及应用_杨远.pdf,papers/一种新型自动化淋醋工艺的开发及应用_杨远.pdf,文献,pdfplumber,ok,pass,ingested,5,7,0,2,0,9076,1296.57,0.9695,0.0321,2,0,2,parsed_docs/一种新型自动化淋醋工艺的开发及应用_杨远__36120790,
三种黑蒜醋挥发性风味和有机酸成分分析_史玉.pdf,papers/三种黑蒜醋挥发性风味和有机酸成分分析_史玉.pdf,文献,pdfplumber,ok,pass,ingested,6,9,0,2,0,17662,1962.44,0.9912,0.0088,3,0,0,parsed_docs/三种黑蒜醋挥发性风味和有机酸成分分析_史玉__828dc579,
不同乳酸菌对液态发酵米醋总酸及风味物质的影响_邓永建.pdf,papers/不同乳酸菌对液态发酵米醋总酸及风味物质的影响_邓永建.pdf,文献,pdfplumber,ok,pass,ingested,6,20,0,3,0,26521,1326.05,0.9657,0.0343,4,10,1,parsed_docs/不同乳酸菌对液态发酵米醋总酸及风味物质的影响_邓永建__9ae6a1ad,
不同加热方式对两种香醋风味及品质影响研究_安梅.pdf,papers/不同加热方式对两种香醋风味及品质影响研究_安梅.pdf,文献,pdfplumber,ok,pass,ingested,99,283,0,25,0,153687,543.06,0.9168,0.0834,40,144,27,parsed_docs/不同加热方式对两种香醋风味及品质影响研究_安梅__a7e486d4,
不同发酵方式对铁皮石斛醋有机酸及风味特征影响的分析_徐融融.pdf,papers/不同发酵方式对铁皮石斛醋有机酸及风味特征影响的分析_徐融融.pdf,文献,pdfplumber,ok,pass,ingested,7,60,0,2,0,23491,391.52,0.9416,0.0586,2,51,1,parsed_docs/不同发酵方式对铁皮石斛醋有机酸及风味特征影响的分析_徐融融__2ab4f2fb,
不同季节镇江香醋风味品质差异性及与微生物菌群演替的相关性研究_叶晓婷.pdf,papers/不同季节镇江香醋风味品质差异性及与微生物菌群演替的相关性研究_叶晓婷.pdf,文献,pdfplumber,ok,pass,ingested,123,370,0,16,0,137271,371.0,0.9693,0.0307,16,231,2,parsed_docs/不同季节镇江香醋风味品质差异性及与微生物菌群演替的相关性研究_叶晓婷__76883ff5,
不同封醅时间对镇江香醋品质的影响_李信.pdf,papers/不同封醅时间对镇江香醋品质的影响_李信.pdf,文献,pdfplumber,ok,pass,ingested,10,251,0,5,0,61682,245.75,0.9105,0.0896,5,236,0,parsed_docs/不同封醅时间对镇江香醋品质的影响_李信__a149eef3,
不同工艺生产多醋龄镇江香醋挥发性成分比较_刘源.pdf,papers/不同工艺生产多醋龄镇江香醋挥发性成分比较_刘源.pdf,文献,pdfplumber,ok,pass,ingested,5,5,0,0,0,10059,2011.8,0.9859,0.0142,0,0,0,parsed_docs/不同工艺生产多醋龄镇江香醋挥发性成分比较_刘源__6e1e8cd3,
不同年份禄丰香醋品质、抗氧化作用及对肠道微生物的影响研究_赵锐环.pdf,papers/不同年份禄丰香醋品质、抗氧化作用及对肠道微生物的影响研究_赵锐环.pdf,文献,pdfplumber,ok,pass,ingested,82,141,0,6,0,94683,671.51,0.9713,0.0287,6,53,1,parsed_docs/不同年份禄丰香醋品质_抗氧化作用及对肠道微生物的影响研究_赵锐环__527790b3,
不同晒醅时间固态发酵食醋工艺对比及风味分析_王淋.pdf,papers/不同晒醅时间固态发酵食醋工艺对比及风味分析_王淋.pdf,文献,pdfplumber,ok,pass,ingested,10,12,0,2,0,22655,1887.92,0.9838,0.0162,2,0,0,parsed_docs/不同晒醅时间固态发酵食醋工艺对比及风味分析_王淋__7ee38ae3,
不同来源的苹果醋理化指标、抗氧化活性和风味特性分析_李雅楠.pdf,papers/不同来源的苹果醋理化指标、抗氧化活性和风味特性分析_李雅楠.pdf,文献,pdfplumber,ok,pass,ingested,8,8,0,0,0,17088,2136.0,0.9869,0.0132,0,0,0,parsed_docs/不同来源的苹果醋理化指标_抗氧化活性和风味特性分析_李雅楠__219bc941,
不同碳源、氮源对菠萝果醋品质及风味的影响研究_王晓芳.pdf,papers/不同碳源、氮源对菠萝果醋品质及风味的影响研究_王晓芳.pdf,文献,pdfplumber,ok,pass,ingested,12,13,0,1,0,29163,2243.31,0.9737,0.027,1,0,0,parsed_docs/不同碳源_氮源对菠萝果醋品质及风味的影响研究_王晓芳__9d7d5c35,
不同种类市售食醋特征指标的测定及差异性分析_刘济源.pdf,papers/不同种类市售食醋特征指标的测定及差异性分析_刘济源.pdf,文献,pdfplumber,ok,pass,ingested,6,62,0,2,0,18401,296.79,0.9757,0.0243,2,54,0,parsed_docs/不同种类市售食醋特征指标的测定及差异性分析_刘济源__4fc9c323,
不同菌种发酵猕猴桃果醋中的香气成分分析_郭雅娟.pdf,papers/不同菌种发酵猕猴桃果醋中的香气成分分析_郭雅娟.pdf,文献,pdfplumber,ok,pass,ingested,5,10,0,3,0,15583,1558.3,0.9712,0.0288,5,0,1,parsed_docs/不同菌种发酵猕猴桃果醋中的香气成分分析_郭雅娟__f7da3a58,
不同醋酸菌及发酵方式对柑橘果醋品质的影响_刘天宇.pdf,papers/不同醋酸菌及发酵方式对柑橘果醋品质的影响_刘天宇.pdf,文献,pdfplumber,ok,pass,ingested,6,9,0,3,0,18060,2006.67,0.9611,0.0391,3,0,0,parsed_docs/不同醋酸菌及发酵方式对柑橘果醋品质的影响_刘天宇__c6daafa2,
不同醋酸菌对菠萝糯米果粮醋风味的影响_祁勇刚.pdf,papers/不同醋酸菌对菠萝糯米果粮醋风味的影响_祁勇刚.pdf,文献,pdfplumber,ok,pass,ingested,6,7,0,1,0,15731,2247.29,0.9725,0.0275,1,0,0,parsed_docs/不同醋酸菌对菠萝糯米果粮醋风味的影响_祁勇刚__9d2f2659,
不同陈酿年份四大名醋有机酸及挥发性风味物质比较分析_郭鑫磊.pdf,papers/不同陈酿年份四大名醋有机酸及挥发性风味物质比较分析_郭鑫磊.pdf,文献,pdfplumber,ok,pass,ingested,7,7,0,0,0,13630,1947.14,0.9855,0.0145,0,0,0,parsed_docs/不同陈酿年份四大名醋有机酸及挥发性风味物质比较分析_郭鑫磊__d508da5f,
不同陈酿年份四大名醋风味和功能性成分的比较_王宏霞.pdf,papers/不同陈酿年份四大名醋风味和功能性成分的比较_王宏霞.pdf,文献,paddleocr,ocr,pass,ingested,114,137,3,7,1,98204,716.82,0.9868,0.0133,7,17,0,parsed_docs/不同陈酿年份四大名醋风味和功能性成分的比较_王宏霞__78b53194,
不同陈酿年份市售山西老陈醋理化指标、风味和功能成分的比较_梁楷.pdf,papers/不同陈酿年份市售山西老陈醋理化指标、风味和功能成分的比较_梁楷.pdf,文献,pdfplumber,ok,pass,ingested,6,7,0,1,0,17070,2438.57,0.9822,0.0178,1,0,0,parsed_docs/不同陈酿年份市售山西老陈醋理化指标_风味和功能成分的比较_梁楷__6140f327,
不同陈酿年份镇江香醋品质指标和功能成分的比较_任晓荣.pdf,papers/不同陈酿年份镇江香醋品质指标和功能成分的比较_任晓荣.pdf,文献,pdfplumber,ok,pass,ingested,6,12,0,2,0,14353,1196.08,0.9783,0.0218,2,4,0,parsed_docs/不同陈酿年份镇江香醋品质指标和功能成分的比较_任晓荣__f7efd594,
不同陈酿时间山西老陈醋中功能成分的变化分析_张磊.pdf,papers/不同陈酿时间山西老陈醋中功能成分的变化分析_张磊.pdf,文献,pdfplumber,ok,pass,ingested,4,6,0,2,0,8573,1428.83,0.9806,0.0194,2,0,1,parsed_docs/不同陈酿时间山西老陈醋中功能成分的变化分析_张磊__33e57f23,
中、高温大曲固态发酵过程微生物菌群结构变化的研究_刘雄.pdf,papers/中、高温大曲固态发酵过程微生物菌群结构变化的研究_刘雄.pdf,文献,pdfplumber,ok,pass,ingested,75,190,0,9,1,78571,413.53,0.9733,0.0267,9,107,1,parsed_docs/中_高温大曲固态发酵过程微生物菌群结构变化的研究_刘雄__516e0c50,
中国传统发酵食品用微生物菌种名单研究(第二版)_姚粟.pdf,papers/中国传统发酵食品用微生物菌种名单研究(第二版)_姚粟.pdf,文献,pdfplumber,ok,pass,ingested,36,36,0,0,0,123569,3432.47,0.977,0.023,0,0,0,parsed_docs/中国传统发酵食品用微生物菌种名单研究_第二版__姚粟__c8c1e3a6,
中国传统固态发酵食醋主要特征风味物质组成分析_郑宇.pdf,papers/中国传统固态发酵食醋主要特征风味物质组成分析_郑宇.pdf,文献,pdfplumber,ok,pass,ingested,11,71,0,6,0,29779,419.42,0.9469,0.0572,7,53,4,parsed_docs/中国传统固态发酵食醋主要特征风味物质组成分析_郑宇__df2fb7e1,
中国传统食醋主要风味物质组成及其差异性分析_谢晓林.pdf,papers/中国传统食醋主要风味物质组成及其差异性分析_谢晓林.pdf,文献,paddleocr,ocr,pass,ingested,71,573,34,20,1,131861,230.12,0.8854,0.1146,20,483,5,parsed_docs/中国传统食醋主要风味物质组成及其差异性分析_谢晓林__fb0dde2a,
中国谷物醋风味研究进展_王敏.pdf,papers/中国谷物醋风味研究进展_王敏.pdf,文献,paddleocr,ocr,pass,ingested,8,8,5,0,0,19060,2382.5,0.9594,0.0406,0,0,0,parsed_docs/中国谷物醋风味研究进展_王敏__dd95df55,
中国酿造食醋风味轮的构建及应用_孔祥伟.pdf,papers/中国酿造食醋风味轮的构建及应用_孔祥伟.pdf,文献,pdfplumber,ok,pass,ingested,7,70,0,2,0,18819,268.84,0.9276,0.0724,9,54,6,parsed_docs/中国酿造食醋风味轮的构建及应用_孔祥伟__906f6b80,
中外传统食醋风味特征及品质指标差异分析_陈敏.pdf,papers/中外传统食醋风味特征及品质指标差异分析_陈敏.pdf,文献,pdfplumber,ok,pass,ingested,8,16,0,3,0,26592,1662.0,0.9627,0.0373,3,5,1,parsed_docs/中外传统食醋风味特征及品质指标差异分析_陈敏__4e7ebd9d,
乳酸菌协同发酵猕猴桃果醋加工工艺研究_侯静.pdf,papers/乳酸菌协同发酵猕猴桃果醋加工工艺研究_侯静.pdf,文献,pdfplumber,ok,pass,ingested,60,223,0,11,0,81367,364.87,0.9615,0.0389,11,152,1,parsed_docs/乳酸菌协同发酵猕猴桃果醋加工工艺研究_侯静__2c3a1515,
乳酸菌的乙醇耐受机制及其在食醋生产中的应用_张霖.pdf,papers/乳酸菌的乙醇耐受机制及其在食醋生产中的应用_张霖.pdf,文献,pdfplumber,ok,pass,ingested,11,11,0,0,0,17146,1558.73,0.9841,0.0188,0,0,0,parsed_docs/乳酸菌的乙醇耐受机制及其在食醋生产中的应用_张霖__b5dd40fd,
二次通用旋转法优化木梨果醋酿造工艺_周倚帆.pdf,papers/二次通用旋转法优化木梨果醋酿造工艺_周倚帆.pdf,文献,pdfplumber,ok,pass,ingested,6,72,0,3,0,21656,300.78,0.9542,0.046,3,63,0,parsed_docs/二次通用旋转法优化木梨果醋酿造工艺_周倚帆__8ce4b564,
二级蒸馏对竹醋液抑菌与抗氧化效果的影响_安琳.pdf,papers/二级蒸馏对竹醋液抑菌与抗氧化效果的影响_安琳.pdf,文献,pdfplumber,ok,pass,ingested,6,8,0,2,0,13617,1702.12,0.9764,0.0263,2,0,1,parsed_docs/二级蒸馏对竹醋液抑菌与抗氧化效果的影响_安琳__5981fb37,
产业化放大卧式滚筒反应器酿造固态醋的探索_郭蕾.pdf,papers/产业化放大卧式滚筒反应器酿造固态醋的探索_郭蕾.pdf,文献,pdfplumber,ok,pass,ingested,6,7,0,1,0,12478,1782.57,0.994,0.006,1,0,0,parsed_docs/产业化放大卧式滚筒反应器酿造固态醋的探索_郭蕾__c93d7db8,
产乙偶姻功能微生物群落的分离及其在食醋酿造中的应用_王丽娟.pdf,papers/产乙偶姻功能微生物群落的分离及其在食醋酿造中的应用_王丽娟.pdf,文献,pdfplumber,ok,pass,ingested,64,132,0,4,1,79078,599.08,0.9759,0.0241,4,65,2,parsed_docs/产乙偶姻功能微生物群落的分离及其在食醋酿造中的应用_王丽娟__a46a784b,
产香酵母的筛选及其在镇江香醋酿造中的应用_程思远.pdf,papers/产香酵母的筛选及其在镇江香醋酿造中的应用_程思远.pdf,文献,pdfplumber,ok,pass,ingested,8,8,0,0,0,11856,1482.0,0.975,0.0251,0,0,0,parsed_docs/产香酵母的筛选及其在镇江香醋酿造中的应用_程思远__78d67bc6,
优良组合菌株对山西老陈醋酿造的代谢调控_鄢妮.pdf,papers/优良组合菌株对山西老陈醋酿造的代谢调控_鄢妮.pdf,文献,paddleocr,ocr,pass,ingested,141,425,3,30,1,182404,429.19,0.9457,0.0617,33,252,18,parsed_docs/优良组合菌株对山西老陈醋酿造的代谢调控_鄢妮__c4a02ddc,
优良醋酸菌的分离筛选_张彩.pdf,papers/优良醋酸菌的分离筛选_张彩.pdf,文献,paddleocr,ocr,pass,ingested,5,5,5,0,0,4153,830.6,0.9846,0.0176,0,0,0,parsed_docs/优良醋酸菌的分离筛选_张彩__f9924af8,
优质苹果醋及其风味物质的研究_刘青.pdf,papers/优质苹果醋及其风味物质的研究_刘青.pdf,文献,paddleocr,ocr,pass,ingested,88,183,2,13,1,87439,477.81,0.9531,0.0476,17,79,7,parsed_docs/优质苹果醋及其风味物质的研究_刘青__acc2408e,
优质苹果醋酿造技术及主要风味物质研究_陈义伦.pdf,papers/优质苹果醋酿造技术及主要风味物质研究_陈义伦.pdf,文献,paddleocr,ocr,pass,ingested,84,84,73,0,0,75320,896.67,0.9085,0.0917,0,0,0,parsed_docs/优质苹果醋酿造技术及主要风味物质研究_陈义伦__49fb967f,
优质食醋发酵过程中的风味及安全性研究_刘超.pdf,papers/优质食醋发酵过程中的风味及安全性研究_刘超.pdf,文献,paddleocr,ocr,pass,ingested,68,68,2,0,0,31991,470.46,0.995,0.005,0,0,0,parsed_docs/优质食醋发酵过程中的风味及安全性研究_刘超__796cbcdd,
传统发酵食品中微生物多样性与风味形成之间关系及机制的研究进展_陈倩.pdf,papers/传统发酵食品中微生物多样性与风味形成之间关系及机制的研究进展_陈倩.pdf,文献,pdfplumber,ok,pass,ingested,8,9,0,1,0,23130,2570.0,0.9814,0.0186,1,0,0,parsed_docs/传统发酵食品中微生物多样性与风味形成之间关系及机制的研究进展_陈倩__b1a1cd4c,
传统固态发酵小米醋风味物质的变化及工艺改良_张宇.pdf,papers/传统固态发酵小米醋风味物质的变化及工艺改良_张宇.pdf,文献,pdfplumber,ok,pass,ingested,67,252,0,20,2,92211,365.92,0.9499,0.0503,22,165,7,parsed_docs/传统固态发酵小米醋风味物质的变化及工艺改良_张宇__9ee17472,
传统山西老陈醋生产工艺技术改进_魏甲乾.pdf,papers/传统山西老陈醋生产工艺技术改进_魏甲乾.pdf,文献,pdfplumber,ok,pass,ingested,3,3,0,0,0,3964,1321.33,0.9485,0.0515,0,0,0,parsed_docs/传统山西老陈醋生产工艺技术改进_魏甲乾__bebc944a,
传统山西老陈醋酿造工艺_颜景宗.pdf,papers/传统山西老陈醋酿造工艺_颜景宗.pdf,文献,pdfplumber,ok,pass,ingested,5,5,0,0,0,5381,1076.2,0.9495,0.0505,0,0,0,parsed_docs/传统山西老陈醋酿造工艺_颜景宗__715426ba,
传统山西老陈醋酿造工艺技术_颜景宗.pdf,papers/传统山西老陈醋酿造工艺技术_颜景宗.pdf,文献,paddleocr,ocr,pass,ingested,3,3,1,0,0,10638,3546.0,0.9225,0.0812,0,0,0,parsed_docs/传统山西老陈醋酿造工艺技术_颜景宗__fe021082,
传统山西老陈醋醋化中生物活性物质动态分析_冯志宏.pdf,papers/传统山西老陈醋醋化中生物活性物质动态分析_冯志宏.pdf,文献,pdfplumber,ok,pass,ingested,4,4,0,0,0,8675,2168.75,0.9775,0.0225,0,0,0,parsed_docs/传统山西老陈醋醋化中生物活性物质动态分析_冯志宏__b3a06beb,
传统岐山酿造食醋发酵过程中的微生物群落动态演变和风味物质的研究_甘兴.pdf,papers/传统岐山酿造食醋发酵过程中的微生物群落动态演变和风味物质的研究_甘兴.pdf,文献,pdfplumber,ok,pass,ingested,81,283,0,13,1,110962,392.09,0.9568,0.0433,13,190,0,parsed_docs/传统岐山酿造食醋发酵过程中的微生物群落动态演变和风味物质的研究_甘兴__088e6838,
传统岐山醋醋酸固态发酵过程中细菌群落动态演变与风味物质形成规律的研究_李沙.pdf,papers/传统岐山醋醋酸固态发酵过程中细菌群落动态演变与风味物质形成规律的研究_李沙.pdf,文献,paddleocr,ocr,pass,ingested,91,166,1,12,1,104552,629.83,0.9695,0.0307,13,63,4,parsed_docs/传统岐山醋醋酸固态发酵过程中细菌群落动态演变与风味物质形成规律的研究_李沙__3fb3c961,
传统工艺山西陈醋酿造微生物溯源分析_寇蓉.pdf,papers/传统工艺山西陈醋酿造微生物溯源分析_寇蓉.pdf,文献,pdfplumber,ok,pass,ingested,8,40,0,2,0,20581,514.52,0.9823,0.0177,2,30,0,parsed_docs/传统工艺山西陈醋酿造微生物溯源分析_寇蓉__6f66d922,
传统手工和现代工业化生产镇江香醋风味组分的比较研究_尹俊玲.pdf,papers/传统手工和现代工业化生产镇江香醋风味组分的比较研究_尹俊玲.pdf,文献,paddleocr,ocr,pass,ingested,115,211,24,9,0,135414,641.77,0.9661,0.0391,10,86,3,parsed_docs/传统手工和现代工业化生产镇江香醋风味组分的比较研究_尹俊玲__bd545a98,
传统晒醋发酵过程中风味及营养物质与菌群演替相关性研究及功能菌株筛选_董科.pdf,papers/传统晒醋发酵过程中风味及营养物质与菌群演替相关性研究及功能菌株筛选_董科.pdf,文献,paddleocr,ocr,pass,ingested,261,479,3,28,0,253012,528.21,0.963,0.0374,28,190,11,parsed_docs/传统晒醋发酵过程中风味及营养物质与菌群演替相关性研究及功能菌株筛选_董科__67c3b489,
传统食醋发酵区系中微生物群落及相互作用关系研究进展_刘稼鑫.pdf,papers/传统食醋发酵区系中微生物群落及相互作用关系研究进展_刘稼鑫.pdf,文献,pdfplumber,ok,pass,ingested,10,10,0,0,0,29003,2900.3,0.9845,0.0155,0,0,0,parsed_docs/传统食醋发酵区系中微生物群落及相互作用关系研究进展_刘稼鑫__b93dce8b,
传统食醋大曲固态发酵过程中微生物多样性及其主要优势微生物产酶的研究_冯锋.pdf,papers/传统食醋大曲固态发酵过程中微生物多样性及其主要优势微生物产酶的研究_冯锋.pdf,文献,pdfplumber,ok,pass,ingested,84,165,0,9,1,73339,444.48,0.973,0.0271,9,73,1,parsed_docs/传统食醋大曲固态发酵过程中微生物多样性及其主要优势微生物产酶的研究_冯锋__5ea2ae2e,
传统食醋酿造过程中微生物群落的多样性及功能研究进展_聂志强.pdf,papers/传统食醋酿造过程中微生物群落的多样性及功能研究进展_聂志强.pdf,文献,pdfplumber,ok,pass,ingested,6,6,0,0,0,18429,3071.5,0.9834,0.0167,0,0,0,parsed_docs/传统食醋酿造过程中微生物群落的多样性及功能研究进展_聂志强__de66c344,
保健型荞麦醋酿造工艺研究_刘旭.pdf,papers/保健型荞麦醋酿造工艺研究_刘旭.pdf,文献,paddleocr,ocr,pass,ingested,66,141,3,19,0,68641,486.82,0.9566,0.0435,28,47,21,parsed_docs/保健型荞麦醋酿造工艺研究_刘旭__04a91021,
保宁醋“中药醋曲”发酵过程中微生物菌群与理化性质动态解析_黄静.pdf,papers/保宁醋“中药醋曲”发酵过程中微生物菌群与理化性质动态解析_黄静.pdf,文献,pdfplumber,ok,pass,ingested,109,388,0,12,2,132045,340.32,0.9659,0.0341,12,269,2,parsed_docs/保宁醋_中药醋曲_发酵过程中微生物菌群与理化性质动态解析_黄静__95236c55,
保宁醋固态发酵理化指标的动态分析_刘军.pdf,papers/保宁醋固态发酵理化指标的动态分析_刘军.pdf,文献,pdfplumber,ok,pass,ingested,3,3,0,0,0,5281,1760.33,0.9803,0.0197,0,0,0,parsed_docs/保宁醋固态发酵理化指标的动态分析_刘军__86673c17,
全发酵型苹果醋加工工艺的研究与应用_范振华.pdf,papers/全发酵型苹果醋加工工艺的研究与应用_范振华.pdf,文献,pdfplumber,ok,pass,ingested,2,7,0,1,0,4076,582.29,0.9755,0.0245,2,3,0,parsed_docs/全发酵型苹果醋加工工艺的研究与应用_范振华__7709b66d,
共固定化酯化酶与糖化酶的制备及其对山西老陈醋催陈与澄清效果研究_王冕.pdf,papers/共固定化酯化酶与糖化酶的制备及其对山西老陈醋催陈与澄清效果研究_王冕.pdf,文献,paddleocr,ocr,pass,ingested,56,372,31,22,2,92128,247.66,0.8565,0.1436,22,296,11,parsed_docs/共固定化酯化酶与糖化酶的制备及其对山西老陈醋催陈与澄清效果研究_王冕__d0ff3eed,
凉州熏醋传统酿造过程中优势菌群对代谢产物和风味的影响_李多佳.pdf,papers/凉州熏醋传统酿造过程中优势菌群对代谢产物和风味的影响_李多佳.pdf,文献,pdfplumber,ok,pass,ingested,58,57,0,2,3,57476,1008.35,0.993,0.0101,2,0,0,parsed_docs/凉州熏醋传统酿造过程中优势菌群对代谢产物和风味的影响_李多佳__f2522fab,
