source,relative_path,doc_type,parser,parse_status,quality_status,ingest_status,pages_total,pages_parsed,ocr_pages,table_pages,empty_pages,chars_total,avg_chars_per_page,valid_char_ratio,garble_score,table_count,table_fact_count,table_review_count,artifact_dir,notes
Brugnoli 等 - 2024 - Oxidative fermentation of glucose and ethanol in designed media and cooked grape must by acetic acid.pdf,papers/Brugnoli 等 - 2024 - Oxidative fermentation of glucose and ethanol in designed media and cooked grape must by acetic acid.pdf,文献,pdfplumber,ok,pass,ingested,9,151,0,4,0,83046,549.97,0.9632,0.0368,4,138,0,parsed_docs/Brugnoli_等_-_2024_-_Oxidative_fermentation_of_glucose_and_ethanol_in_designed_me__e66b9e0f,
Calabrese - 2018 - Cider vinegar rules.pdf,papers/Calabrese - 2018 - Cider vinegar rules.pdf,文献,pdfplumber,ok,pass,ingested,3,3,0,0,0,11245,3748.33,0.9978,0.0022,0,0,0,parsed_docs/Calabrese_-_2018_-_Cider_vinegar_rules__3f689fa3,
"Caligiani等 - 2010 - 1H NMR Fingerprinting of Soybean Extracts, with Emphasis on Identification and Quantification of Isoflavones.pdf","papers/Caligiani等 - 2010 - 1H NMR Fingerprinting of Soybean Extracts, with Emphasis on Identification and Quantification of Isoflavones.pdf",文献,pdfplumber,ok,pass,ingested,10,104,0,8,0,42116,404.96,0.9523,0.0477,8,86,1,parsed_docs/Caligiani等_-_2010_-_1H_NMR_Fingerprinting_of_Soybean_Extracts_with_Emphasis_on_I__17a5d0f4,
Calle 等 - 2021 - A Methodology Based on FT-IR Data Combined with Random Forest Model to Generate Spectralprints for t.pdf,papers/Calle 等 - 2021 - A Methodology Based on FT-IR Data Combined with Random Forest Model to Generate Spectralprints for t.pdf,文献,pdfplumber,ok,pass,ingested,12,46,0,1,0,54570,1186.3,0.9842,0.0159,1,33,0,parsed_docs/Calle_等_-_2021_-_A_Methodology_Based_on_FT-IR_Data_Combined_with_Random_Forest_M__18157c17,
Callejón 等 - 2008 - HPLC determination of amino acids with AQC derivatization in vinegars along submerged and surface ac.pdf,papers/Callejón 等 - 2008 - HPLC determination of amino acids with AQC derivatization in vinegars along submerged and surface ac.pdf,文献,pdfplumber,ok,pass,ingested,10,172,0,9,0,76011,441.92,0.9377,0.0628,11,151,2,parsed_docs/Callejo_n_等_-_2008_-_HPLC_determination_of_amino_acids_with_AQC_derivatization_i__13c0381d,
Callejón 等 - 2009 - Volatile compounds in red wine vinegars obtained by submerged and surface acetification in different.pdf,papers/Callejón 等 - 2009 - Volatile compounds in red wine vinegars obtained by submerged and surface acetification in different.pdf,文献,pdfplumber,ok,pass,ingested,8,12,0,3,0,43722,3643.5,0.9677,0.0325,3,1,0,parsed_docs/Callejo_n_等_-_2009_-_Volatile_compounds_in_red_wine_vinegars_obtained_by_submerg__34ed3a67,
Callejón 等 - 2010 - Determination of amino acids in grape-derived products A review.pdf,papers/Callejón 等 - 2010 - Determination of amino acids in grape-derived products A review.pdf,文献,pdfplumber,ok,pass,ingested,10,124,0,2,0,79126,638.11,0.9732,0.0268,2,112,0,parsed_docs/Callejo_n_等_-_2010_-_Determination_of_amino_acids_in_grape-derived_products_A_re__cbd13634,
Campos 等 - 2022 - Harnessing model organism genomics to underpin the machine learning-based prediction of essential ge.pdf,papers/Campos 等 - 2022 - Harnessing model organism genomics to underpin the machine learning-based prediction of essential ge.pdf,文献,pdfplumber,ok,pass,ingested,20,20,0,0,0,156108,7805.4,0.9974,0.0026,0,0,0,parsed_docs/Campos_等_-_2022_-_Harnessing_model_organism_genomics_to_underpin_the_machine_lea__18528d67,
Campos-Vázquez 等 - 2024 - Exploring microbial diversity and functionality in Verdejo wine vinegar fermentation through LC-MSM.pdf,papers/Campos-Vázquez 等 - 2024 - Exploring microbial diversity and functionality in Verdejo wine vinegar fermentation through LC-MSM.pdf,文献,pdfplumber,ok,pass,ingested,14,150,0,4,0,127462,849.75,0.9765,0.0236,4,132,0,parsed_docs/Campos-Va_zquez_等_-_2024_-_Exploring_microbial_diversity_and_functionality_in_Ve__407f4ba1,
Cañete-Rodríguez 等 - 2016 - An approach for estimating the maximum specific growth rate of Gluconobacter japonicus in strawberry.pdf,papers/Cañete-Rodríguez 等 - 2016 - An approach for estimating the maximum specific growth rate of Gluconobacter japonicus in strawberry.pdf,文献,pdfplumber,ok,pass,ingested,7,124,0,4,0,66080,532.9,0.9553,0.0449,4,113,0,parsed_docs/Can_ete-Rodri_guez_等_-_2016_-_An_approach_for_estimating_the_maximum_specific_gr__a9c97bda,
Cao 等 - 2023 - Organic fertilizer and hydrothermal conditions change the distribution of Medicago sativa L. product.pdf,papers/Cao 等 - 2023 - Organic fertilizer and hydrothermal conditions change the distribution of Medicago sativa L. product.pdf,文献,pdfplumber,ok,pass,ingested,13,105,0,5,0,72407,689.59,0.9657,0.0346,5,87,0,parsed_docs/Cao_等_-_2023_-_Organic_fertilizer_and_hydrothermal_conditions_change_the_distrib__cd623560,
"Cao 等 - 2024 - Cornus officinalis vinegar alters the gut microbiota, regulating lipid droplet changes in non.pdf","papers/Cao 等 - 2024 - Cornus officinalis vinegar alters the gut microbiota, regulating lipid droplet changes in non.pdf",文献,pdfplumber,ok,pass,ingested,8,69,0,1,0,46179,669.26,0.9709,0.0291,1,60,0,parsed_docs/Cao_等_-_2024_-_Cornus_officinalis_vinegar_alters_the_gut_microbiota_regulating_l__2bebdf04,
Catarino 等 - 2025 - Sustainability and Influencing Factors in Bacterial Cellulose Production A Review of the Impact of.pdf,papers/Catarino 等 - 2025 - Sustainability and Influencing Factors in Bacterial Cellulose Production A Review of the Impact of.pdf,文献,pdfplumber,ok,pass,ingested,19,151,0,5,0,129024,854.46,0.9809,0.0192,7,125,0,parsed_docs/Catarino_等_-_2025_-_Sustainability_and_Influencing_Factors_in_Bacterial_Cellulos__8d73b733,
